source_path,exists,row_count,candidate_columns,source_role,usable_for_fork_inventory,usable_for_decision_point_inventory,rejection_reason,notes
outputs\ib0d_convergence_audit_v1_3b_reviewed_pass_warn\ib0d_v1_3b_reviewed_pass_warn_stage_convergence_audit.csv,True,1,stage|official_status|official_script|official_input_root|official_output_root|aggregate_summary|case_coverage_n|pass_n|warn_accepted_n|fail_n|qa_gate|formal_ib1_input_root|legacy_roots_do_not_use|handoff_note,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_output\qixing_xiaoyoukeng_roundtrip_joyhike\qixing_mainline_trim_summary.csv,True,1,input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline\juansi_waterfall_fitcsv_20260503\juansi_waterfall_fitcsv_20260503_mainline_trim_summary.csv,True,1,input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_ordered_path_trimmed_route_points.csv,True,4189,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_self_near_pairs.csv,True,58038,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_self_near_zones.csv,True,3,zone_type|pair_count|dist_a_min_m|dist_a_max_m|dist_b_min_m|dist_b_max_m|spatial_distance_min_m|spatial_distance_avg_m|spatial_distance_max_m|route_gap_min_m|route_gap_avg_m|route_gap_max_m|min_spatial_idx_a|min_spatial_dist_a_m|min_spatial_idx_b|min_spatial_dist_b_m|min_spatial_distance_m|min_spatial_route_gap_m|max_gap_idx_a|max_gap_dist_a_m|max_gap_idx_b|max_gap_dist_b_m|max_gap_spatial_distance_m|max_gap_route_gap_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m|route_point_count|self_near_pair_count|self_near_zone_count|self_near_spatial_threshold_m|self_near_route_gap_threshold_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline\qixing_xiaoyoukeng_main_peak_20260315\qixing_xiaoyoukeng_main_peak_20260315_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline\zhonghua_ust_jiuwufeng_roundtrip_biji\zhonghua_ust_jiuwufeng_roundtrip_biji_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline_forced_required_way_test\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_ordered_path_trimmed_route_points.csv,True,4189,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_forced_required_way_test\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_self_near_pairs.csv,True,58038,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_forced_required_way_test\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_self_near_zones.csv,True,3,zone_type|pair_count|dist_a_min_m|dist_a_max_m|dist_b_min_m|dist_b_max_m|spatial_distance_min_m|spatial_distance_avg_m|spatial_distance_max_m|route_gap_min_m|route_gap_avg_m|route_gap_max_m|min_spatial_idx_a|min_spatial_dist_a_m|min_spatial_idx_b|min_spatial_dist_b_m|min_spatial_distance_m|min_spatial_route_gap_m|max_gap_idx_a|max_gap_dist_a_m|max_gap_idx_b|max_gap_dist_b_m|max_gap_spatial_distance_m|max_gap_route_gap_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_forced_required_way_test\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m|route_point_count|self_near_pair_count|self_near_zone_count|self_near_spatial_threshold_m|self_near_route_gap_threshold_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_1\qixing_lengshuikeng_main_peak_20260523\qixing_lengshuikeng_main_peak_20260523_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline_v1_1\qixing_xiaoyoukeng_main_peak_20260315\qixing_xiaoyoukeng_main_peak_20260315_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_ordered_path_trimmed_route_points.csv,True,3697,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_self_near_pairs.csv,True,0,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_self_near_zones.csv,True,0,,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m|route_point_count|self_near_pair_count|self_near_zone_count|self_near_spatial_threshold_m|self_near_route_gap_threshold_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_mainline_ordered_path_trimmed_route_points.csv,True,4189,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_mainline_self_near_pairs.csv,True,58038,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_mainline_self_near_zones.csv,True,3,zone_type|pair_count|dist_a_min_m|dist_a_max_m|dist_b_min_m|dist_b_max_m|spatial_distance_min_m|spatial_distance_avg_m|spatial_distance_max_m|route_gap_min_m|route_gap_avg_m|route_gap_max_m|min_spatial_idx_a|min_spatial_dist_a_m|min_spatial_idx_b|min_spatial_dist_b_m|min_spatial_distance_m|min_spatial_route_gap_m|max_gap_idx_a|max_gap_dist_a_m|max_gap_idx_b|max_gap_dist_b_m|max_gap_spatial_distance_m|max_gap_route_gap_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b\qixing_lengshuikeng_main_peak_20260523_osmrefresh_v1_3b_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m|route_point_count|self_near_pair_count|self_near_zone_count|self_near_spatial_threshold_m|self_near_route_gap_threshold_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_mainline_ordered_path_trimmed_route_points.csv,True,3247,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_mainline_self_near_pairs.csv,True,34366,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_mainline_self_near_zones.csv,True,2,zone_type|pair_count|dist_a_min_m|dist_a_max_m|dist_b_min_m|dist_b_max_m|spatial_distance_min_m|spatial_distance_avg_m|spatial_distance_max_m|route_gap_min_m|route_gap_avg_m|route_gap_max_m|min_spatial_idx_a|min_spatial_dist_a_m|min_spatial_idx_b|min_spatial_dist_b_m|min_spatial_distance_m|min_spatial_route_gap_m|max_gap_idx_a|max_gap_dist_a_m|max_gap_idx_b|max_gap_dist_b_m|max_gap_spatial_distance_m|max_gap_route_gap_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b\qixing_xiaoyoukeng_main_peak_20260315_osmrefresh_v1_3b_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m|route_point_count|self_near_pair_count|self_near_zone_count|self_near_spatial_threshold_m|self_near_route_gap_threshold_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_mainline_ordered_path_trimmed_route_points.csv,True,5449,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_mainline_self_near_pairs.csv,True,54805,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|possible_issue_type,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_mainline_self_near_zones.csv,True,2,zone_type|pair_count|dist_a_min_m|dist_a_max_m|dist_b_min_m|dist_b_max_m|spatial_distance_min_m|spatial_distance_avg_m|spatial_distance_max_m|route_gap_min_m|route_gap_avg_m|route_gap_max_m|min_spatial_idx_a|min_spatial_dist_a_m|min_spatial_idx_b|min_spatial_dist_b_m|min_spatial_distance_m|min_spatial_route_gap_m|max_gap_idx_a|max_gap_dist_a_m|max_gap_idx_b|max_gap_dist_b_m|max_gap_spatial_distance_m|max_gap_route_gap_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b\zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_mainline_trim_summary.csv,True,1,case_id|input_ordered_path|input_anchor|trim_mode|trim_reason|is_same_entry_exit|same_entry_policy|same_entry_trim_applied|same_entry_anchor_hits_n|same_entry_anchor_first_m|same_entry_anchor_last_m|same_entry_leading_threshold_m|same_entry_anchor_match_radius_m|original_len_m|start_proj_m|end_proj_m|start_end_proj_diff_m|trim_start_m|trim_end_m|trimmed_len_m|removed_head_m|removed_tail_m|start_anchor_source|start_anchor_name|start_anchor_offset_m|end_anchor_source|end_anchor_name|end_anchor_offset_m|route_point_count|self_near_pair_count|self_near_zone_count|self_near_spatial_threshold_m|self_near_route_gap_threshold_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\_ib0d_v1_3b_contract_case_status.csv,True,1,case_id|status|hard_fail_reasons|warnings|out_dir,other_context_not_fork_inventory,False,False,no_governed_fork_topology_fields_found,"No node-degree, edge adjacency, or parseable fork/decision-point inventory fields found."
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\ib0d_v1_3b_contract_qa_summary_all.csv,True,1,case_id|status|contract|canonical_input_ordered_path|route_axis_control_point_authority|legacy_ib0c_anchor_authority|trim_mode|original_len_m|trim_start_m|trim_end_m|trimmed_len_m|control_point_count|max_control_offset_m|route_point_count|self_near_pair_count|expected_self_near_pair_count|unexpected_self_near_pair_count|hard_fail_reasons|warnings|safe_for_ib1a_ib1c_ib1g_ib1e,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\control_point_projection.csv,True,3,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note|projection_ok|projection_offset_to_osm_m|matched_id_text|osm_way_id_current|osm_id_current|highway|name_osm|route_role|match_score|overlap_ratio|projected_lat|projected_lon|projected_route_dist_m|nearest_ordered_path_offset_m|ordered_path_length_m|included_in_required_way|projection_method|search_window_start_m|search_window_end_m|route_point_warning|contract_projected_route_dist_m|contract_nearest_ordered_path_offset_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_ordered_path_trimmed_route_points.csv,True,3697,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_self_near_pairs.csv,True,0,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|classification,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_self_near_zones.csv,True,0,,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_mainline_trim_summary.csv,True,1,case_id|status|contract|canonical_input_ordered_path|route_axis_control_point_authority|legacy_ib0c_anchor_authority|trim_mode|original_len_m|trim_start_m|trim_end_m|trimmed_len_m|control_point_count|max_control_offset_m|route_point_count|self_near_pair_count|expected_self_near_pair_count|unexpected_self_near_pair_count|hard_fail_reasons|warnings|safe_for_ib1a_ib1c_ib1g_ib1e,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b_route_definition_control_points_contract_projection.csv,True,3,case_id|control_id|control_role|phase|name|lat|lon|required|order|route_action|note|projection_ok|projection_offset_to_osm_m|matched_id_text|osm_way_id_current|osm_id_current|highway|name_osm|route_role|match_score|overlap_ratio|projected_lat|projected_lon|projected_route_dist_m|nearest_ordered_path_offset_m|ordered_path_length_m|included_in_required_way|projection_method|search_window_start_m|search_window_end_m|route_point_warning|contract_projected_route_dist_m|contract_nearest_ordered_path_offset_m,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\route_points.csv,True,3697,route_point_index|route_dist_m|lat|lon,route_semantic_context_not_fork_inventory,False,False,semantic_context_lacks_governed_topology_or_node_degree,Guidepost/facility/OSM semantics are useful context but cannot be counted as forks without topology.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\self_near_pairs.csv,True,0,idx_a|dist_a_m|idx_b|dist_b_m|spatial_distance_m|route_distance_gap_m|classification,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\self_near_zones.csv,True,0,,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
outputs\ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa\juansi_waterfall_fitcsv_20260503_osmrefresh_v1_3b\trim_summary.csv,True,1,case_id|status|contract|canonical_input_ordered_path|route_axis_control_point_authority|legacy_ib0c_anchor_authority|trim_mode|original_len_m|trim_start_m|trim_end_m|trimmed_len_m|control_point_count|max_control_offset_m|route_point_count|self_near_pair_count|expected_self_near_pair_count|unexpected_self_near_pair_count|hard_fail_reasons|warnings|safe_for_ib1a_ib1c_ib1g_ib1e,route_geometry_self_near_context_not_fork_inventory,False,False,self_near_or_geometry_artifact_not_governed_fork_source,Geometry proximity can flag artifacts or loops but is not enough to define a decision point.
